year,no_of_weeks,device,no_of_user
2014,17,acer aspire desktop,9
2014,17,acer aspire notebook,20
2014,17,amazon fire phone,4
2014,17,asus chromebook,21
2014,17,dell inspiron desktop,18
2014,17,dell inspiron notebook,46
2014,17,hp pavilion desktop,14
2014,17,htc one,16
2014,17,ipad air,27
2014,17,ipad mini,19
2014,17,iphone 4s,21
2014,17,iphone 5,65
2014,17,iphone 5s,42
2014,17,kindle fire,6
2014,17,lenovo thinkpad,86
2014,17,mac mini,6
2014,17,macbook air,54
2014,17,macbook pro,143
2014,17,nexus 10,16
2014,17,nexus 5,40
2014,17,nexus 7,18
2014,17,nokia lumia 635,17
2014,17,samsumg galaxy tablet,8
2014,17,samsung galaxy note,7
2014,17,samsung galaxy s4,52
2014,17,windows surface,10
2014,18,acer aspire desktop,26
2014,18,acer aspire notebook,33
2014,18,amazon fire phone,9
2014,18,asus chromebook,42
2014,18,dell inspiron desktop,58
2014,18,dell inspiron notebook,77
2014,18,hp pavilion desktop,37
2014,18,htc one,19
2014,18,ipad air,52
2014,18,ipad mini,30
2014,18,iphone 4s,46
2014,18,iphone 5,113
2014,18,iphone 5s,73
2014,18,kindle fire,27
2014,18,lenovo thinkpad,153
2014,18,mac mini,13
2014,18,macbook air,121
2014,18,macbook pro,252
2014,18,nexus 10,30
2014,18,nexus 5,73
2014,18,nexus 7,30
2014,18,nokia lumia 635,33
2014,18,samsumg galaxy tablet,11
2014,18,samsung galaxy note,15
2014,18,samsung galaxy s4,82
2014,18,windows surface,10
2014,19,acer aspire desktop,23
2014,19,acer aspire notebook,41
2014,19,amazon fire phone,12
2014,19,asus chromebook,27
2014,19,dell inspiron desktop,36
2014,19,dell inspiron notebook,83
2014,19,hp pavilion desktop,40
2014,19,htc one,30
2014,19,ipad air,55
2014,19,ipad mini,36
2014,19,iphone 4s,44
2014,19,iphone 5,115
2014,19,iphone 5s,79
2014,19,kindle fire,21
2014,19,lenovo thinkpad,178
2014,19,mac mini,18
2014,19,macbook air,112
2014,19,macbook pro,266
2014,19,nexus 10,25
2014,19,nexus 5,87
2014,19,nexus 7,41
2014,19,nokia lumia 635,23
2014,19,samsumg galaxy tablet,6
2014,19,samsung galaxy note,11
2014,19,samsung galaxy s4,91
2014,19,windows surface,16
2014,20,acer aspire desktop,23
2014,20,acer aspire notebook,40
2014,20,amazon fire phone,11
2014,20,asus chromebook,41
2014,20,dell inspiron desktop,52
2014,20,dell inspiron notebook,84
2014,20,hp pavilion desktop,30
2014,20,htc one,29
2014,20,ipad air,59
2014,20,ipad mini,32
2014,20,iphone 4s,55
2014,20,iphone 5,125
2014,20,iphone 5s,79
2014,20,kindle fire,23
2014,20,lenovo thinkpad,173
2014,20,mac mini,26
2014,20,macbook air,119
2014,20,macbook pro,256
2014,20,nexus 10,22
2014,20,nexus 5,103
2014,20,nexus 7,32
2014,20,nokia lumia 635,22
2014,20,samsumg galaxy tablet,9
2014,20,samsung galaxy note,18
2014,20,samsung galaxy s4,93
2014,20,windows surface,21
2014,21,acer aspire desktop,29
2014,21,acer aspire notebook,47
2014,21,amazon fire phone,5
2014,21,asus chromebook,38
2014,21,dell inspiron desktop,41
2014,21,dell inspiron notebook,80
2014,21,hp pavilion desktop,44
2014,21,htc one,21
2014,21,ipad air,51
2014,21,ipad mini,23
